context,answer,grounded,failure_type
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.","Pradhan Mantri Matru Vandana Yojana is run by Ministry of Women & Child Development. It provides: ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",1,grounded
PM Scholarship Scheme (PMSS) (Ministry of Home Affairs): Scholarships for wards of ex-servicemen/police officers; technical/professional courses.,"Scholarships for wards of ex-servicemen/police officers; technical/professional courses. That's what PM Scholarship Programme (PMSS) offers, under Ministry of Home Affairs.",1,grounded_paraphrase
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,PM Suraksha Bima Yojana is run by Ministry of Finance and is specifically designed for foreign nationals visiting India. ₹2 lakh accident coverage for ₹20/year premium. Bank account mandatory.,0,hard_negative_wrong_target_paraphrase
PM Fasal Bima Yojana (Ministry of Agriculture & Farmers' Welfare): Crop insurance scheme providing financial support to farmers in case of crop failure.,"Crop coverage programme providing monetary assistance to cultivators in case of crop failure. That's what PM Fasal Bima Yojana offers, under Ministry of Agriculture & Farmers' Welfare.",1,grounded_paraphrase
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.","This programme, Pradhan Mantri Matru Vandana Yojana, is administered by Ministry of Female applicants & Child Development. In short, ₹5,000 cash incentive for first live birth to assistance pregnant/lactating female applicants.",1,grounded_paraphrase
Ayushman Bharat – PM-JAY (Ministry of Health & Family Welfare): ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,Ayushman Bharat – PM-JAY is run by Ministry of Health & Family Welfare and is specifically designed for foreign nationals visiting India. ₹5 lakh/year health cover for secondary & tertiary hospitalisation for BPL families.,0,hard_negative_wrong_target_paraphrase
PM Jeevan Jyoti Bima Yojana (Ministry of Finance): ₹2 lakh life insurance for ₹436/year premium for bank account holders.,"₹2 lakh life coverage for ₹436/year premium for bank account holders. That's what PM Jeevan Jyoti Bima Yojana offers, under Ministry of Finance.",1,grounded_paraphrase
"Pradhan Mantri Matru Vandana Yojana (Ministry of Women & Child Development): ₹5,000 cash incentive for first live birth to support pregnant/lactating women.",Pradhan Mantri Matru Vandana Yojana is run by Ministry of Women & Child Development. It provides: 45000 cash incentive for first live birth to support pregnant/lactating women.,0,fabricated_number
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,"Affordable credit for cultivators for agricultural needs up to ₹3 lakh at 4% interest. That's what Kisan Credit Card (KCC) offers, under Ministry of Agriculture & Farmers' Welfare.",1,grounded_paraphrase
PM Suraksha Bima Yojana (Ministry of Finance): ₹2 lakh accident insurance for ₹20/year premium. Bank account mandatory.,You can cook rice by boiling it in water for about fifteen minutes.,0,off_topic
Eklavya Model Residential Schools (Ministry of Tribal Affairs): Quality education for ST students in tribal areas; free residential schooling.,"The capital of France is Paris, a city known for its museums.",0,off_topic
Startup India Seed Fund Scheme (Ministry of Commerce & Industry): Seed funding up to ₹50 lakh for early-stage DPIIT-recognised startups.,PM Awas Yojana – Gramin (PMAY-G) is run by Ministry of Rural Development. It provides: Financial assistance to construct pucca houses for rural BPL households.,0,topic_mismatch
Indira Gandhi National Old Age Pension Scheme (Ministry of Rural Development): Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,Indira Gandhi National Old Age Pension Programme is run by Ministry of Village-area Development and is specifically designed for large industrial corporations. Monthly pension of ₹200–₹500 for BPL senior citizens aged 60+.,0,hard_negative_wrong_target_paraphrase
PM MUDRA Yojana (Ministry of Finance): Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,PM MUDRA Yojana is run by Ministry of Finance. It provides: Loans ₹50K–₹10 lakh for non-farm micro/small enterprises (Shishu/Kishor/Tarun).,1,grounded
Post-Matric Scholarship for SC Students (Ministry of Social Justice & Empowerment): Financial assistance to SC students pursuing post-matriculation courses.,Post-Matric Scholarship for SC Students is run by Ministry of Social Justice & Empowerment. It provides: Financial assistance to SC students pursuing post-matriculation courses. Additional cash bonus of ₹25000 is also provided in the first year.,0,fabricated_number
Kisan Credit Card (KCC) (Ministry of Agriculture & Farmers' Welfare): Affordable credit for farmers for agricultural needs up to ₹3 lakh at 4% interest.,Cricket is a popular sport played between two teams of eleven players.,0,off_topic
